sample;site;%_seagrass;%_algae;%_epiphyte;shoot_density;Cr;Cs;Hu;Ho;Th;Tc;Ea;Si;Hs;sand;species;diversity;evenness;canopy;leaf;width;no_leaves1
1;Maruhubi;80.00;5.00;0.00;84.00;8.00;72.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.00;2.00;1.22;0.61;26.67;26.67;1.50;4.00
1;Maruhubi;95.00;20.00;0.00;97.00;9.50;76.00;0.00;0.00;0.00;0.00;0.00;9.50;0.00;5.00;3.00;1.52;0.51;28.67;28.67;1.50;4.00
1;Maruhubi;50.00;15.00;2.00;38.00;15.00;30.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;50.00;3.00;2.17;0.72;21.33;21.33;1.33;3.00
1;Maruhubi;90.00;0.00;0.00;91.00;9.00;81.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;2.00;1.22;0.61;28.33;28.33;1.47;4.00
1;Maruhubi;93.00;0.00;0.00;94.00;0.00;83.70;0.00;0.00;0.00;0.00;0.00;9.30;0.00;7.00;2.00;1.22;0.61;26.00;26.00;1.47;3.00
1;Maruhubi;80.00;0.00;0.00;87.00;8.00;64.00;0.00;0.00;0.00;0.00;0.00;8.00;0.00;20.00;3.00;1.52;0.51;25.00;25.00;1.47;4.00
1;Maruhubi;85.00;20.00;0.00;84.00;12.75;59.50;0.00;0.00;0.00;0.00;0.00;12.75;0.00;15.00;3.00;1.87;0.62;22.33;22.33;1.47;3.00
1;Maruhubi;87.00;10.00;0.00;93.00;8.70;73.95;0.00;0.00;0.00;0.00;0.00;4.35;0.00;13.00;3.00;1.36;0.45;27.33;27.33;1.40;2.00
1;Maruhubi;80.00;0.00;0.00;76.00;8.00;72.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.00;2.00;1.22;0.61;26.67;26.67;1.50;3.00
1;Maruhubi;92.00;40.00;0.00;96.00;9.20;73.60;0.00;0.00;0.00;0.00;0.00;9.20;0.00;8.00;3.00;1.52;0.51;24.67;24.67;1.50;4.00
1;Maruhubi;87.00;0.00;0.00;95.00;8.70;69.60;0.00;0.00;0.00;0.00;0.00;8.70;0.00;13.00;3.00;1.52;0.51;21.00;21.00;1.47;4.00
2;Maruhubi;80.00;50.00;0.00;83.00;8.00;72.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.00;2.00;1.22;0.61;25.00;25.00;1.47;4.00
2;Maruhubi;85.00;5.00;0.00;92.00;8.50;76.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.00;2.00;1.22;0.61;26.33;26.33;1.43;2.00
2;Maruhubi;90.00;35.00;0.00;97.00;9.00;81.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;2.00;1.22;0.61;20.33;20.33;1.47;4.00
2;Maruhubi;95.00;5.00;0.00;102.00;9.50;76.00;0.00;0.00;0.00;0.00;0.00;9.50;0.00;5.00;3.00;1.52;0.51;25.67;25.67;1.47;4.00
2;Maruhubi;90.00;0.00;0.00;94.00;0.00;72.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;1.00;1.56;1.56;26.67;26.67;1.50;3.00
2;Maruhubi;87.00;0.00;0.00;93.00;17.40;60.90;0.00;0.00;0.00;0.00;0.00;26.10;0.00;13.00;3.00;1.61;0.54;25.33;25.33;1.47;3.00
2;Maruhubi;80.00;0.00;0.00;81.00;8.00;64.00;0.00;0.00;0.00;0.00;0.00;8.00;0.00;20.00;3.00;1.52;0.51;24.00;24.00;1.50;4.00
2;Maruhubi;80.00;25.00;0.00;88.00;8.00;64.00;0.00;0.00;0.00;0.00;0.00;8.00;0.00;20.00;3.00;1.52;0.51;23.67;23.67;1.43;3.00
2;Maruhubi;85.00;28.00;0.00;87.00;4.25;80.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.00;2.00;1.10;0.55;24.00;24.00;1.47;4.00
2;Maruhubi;88.00;0.00;0.00;86.00;4.40;79.20;0.00;0.00;0.00;0.00;0.00;4.40;0.00;12.00;3.00;1.23;0.41;22.33;22.33;1.47;3.00
2;Maruhubi;90.00;0.00;0.00;100.00;0.00;85.50;0.00;0.00;0.00;0.00;0.00;4.50;0.00;10.00;2.00;1.10;0.55;27.67;27.67;1.47;4.00
2;Maruhubi;95.00;35.00;0.00;103.00;4.75;85.50;0.00;0.00;0.00;0.00;0.00;4.75;0.00;5.00;3.00;1.23;0.41;29.00;29.00;1.43;3.00
2;Maruhubi;90.00;0.00;0.00;95.00;9.00;72.00;0.00;0.00;0.00;0.00;0.00;9.00;0.00;10.00;3.00;1.52;0.51;27.67;27.67;1.50;4.00
2;Maruhubi;90.00;0.00;0.00;98.00;9.00;81.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;2.00;1.22;0.61;24.67;24.67;1.47;3.00
2;Maruhubi;95.00;35.00;0.00;108.00;4.75;85.50;0.00;0.00;0.00;0.00;0.00;4.75;0.00;5.00;3.00;1.23;0.41;25.00;25.00;1.47;4.00
2;Maruhubi;93.00;30.00;0.00;107.00;0.00;88.35;0.00;0.00;0.00;0.00;0.00;4.65;0.00;7.00;2.00;1.10;0.55;27.33;27.33;1.47;4.00
2;Maruhubi;98.00;20.00;0.00;123.00;4.90;88.20;0.00;0.00;0.00;0.00;0.00;4.90;0.00;2.00;3.00;1.23;0.41;25.33;25.33;1.43;4.00
2;Maruhubi;85.00;0.00;0.00;98.00;0.00;76.50;0.00;0.00;0.00;0.00;0.00;8.50;0.00;15.00;2.00;1.22;0.61;19.00;19.00;1.47;4.00
2;Maruhubi;87.00;30.00;0.00;93.00;4.35;69.60;0.00;0.00;0.00;0.00;0.00;13.05;0.00;13.00;3.00;1.50;0.50;17.67;17.67;1.50;3.00
2;Maruhubi;86.00;0.00;0.00;87.00;8.60;68.80;0.00;0.00;0.00;0.00;0.00;4.30;0.00;14.00;3.00;1.53;0.51;26.67;26.67;1.53;4.00
2;Maruhubi;90.00;0.00;0.00;111.00;4.50;81.00;0.00;0.00;0.00;0.00;0.00;4.50;0.00;10.00;3.00;1.23;0.41;26.67;26.67;1.40;4.00
2;Maruhubi;90.00;90.00;0.00;106.00;9.00;72.00;0.00;0.00;0.00;0.00;0.00;9.00;0.00;10.00;3.00;1.52;0.51;22.00;22.00;1.43;4.00
3;Maruhubi;12.00;3.00;3.00;37.00;0.00;0.00;6.00;0.00;6.00;0.00;0.00;0.00;0.00;88.00;2.00;2.00;1.00;9.13;9.13;0.90;4.00
3;Maruhubi;15.00;0.00;2.00;48.00;0.00;0.00;7.50;0.00;7.50;0.00;0.00;0.00;0.00;85.00;2.00;2.00;1.00;9.67;9.67;0.97;4.00
3;Maruhubi;12.00;0.00;0.00;25.00;0.00;0.00;0.00;0.00;12.00;0.00;0.00;0.00;0.00;88.00;1.00;1.00;1.00;10.93;10.93;1.03;2.00
3;Maruhubi;7.00;0.00;0.00;4.00;0.00;0.00;0.00;0.00;7.00;0.00;0.00;0.00;0.00;93.00;1.00;1.00;1.00;10.73;10.73;0.90;3.00
3;Maruhubi;12.00;0.00;0.00;28.00;1.20;0.00;0.00;0.00;10.80;0.00;0.00;0.00;0.00;88.00;2.00;1.22;0.61;11.67;11.67;1.00;4.00
3;Maruhubi;30.00;0.00;0.00;32.00;0.00;0.00;0.00;0.00;30.00;0.00;0.00;0.00;0.00;70.00;1.00;1.00;1.00;10.57;10.57;1.00;3.00
3;Maruhubi;18.00;5.00;1.00;29.00;0.00;0.00;0.00;0.00;18.00;0.00;0.00;0.00;0.00;82.00;1.00;1.00;1.00;9.43;9.43;0.97;3.00
3;Maruhubi;10.00;0.00;0.00;26.00;0.00;0.00;2.00;0.00;8.00;0.00;0.00;0.00;0.00;90.00;2.00;1.47;0.74;9.50;9.50;0.90;2.00
3;Maruhubi;12.00;3.00;0.00;22.00;0.00;0.00;0.00;0.00;12.00;0.00;0.00;0.00;0.00;88.00;1.00;1.00;1.00;9.87;9.87;0.90;4.00
3;Maruhubi;15.00;0.00;2.00;27.00;0.00;0.00;0.00;0.00;15.00;0.00;0.00;0.00;0.00;85.00;1.00;1.00;1.00;9.30;9.30;0.97;4.00
3;Maruhubi;8.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;8.00;0.00;0.00;0.00;0.00;92.00;1.00;1.00;1.00;10.57;10.57;0.93;4.00
3;Maruhubi;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3;Maruhubi;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3;Maruhubi;7.00;2.00;0.00;3.00;0.00;0.00;0.00;0.00;7.00;0.00;0.00;0.00;0.00;93.00;1.00;1.00;1.00;8.60;8.60;0.80;3.00
3;Maruhubi;9.00;0.00;1.00;5.00;0.00;0.00;0.00;0.00;9.00;0.00;0.00;0.00;0.00;91.00;1.00;1.00;1.00;8.83;8.83;0.90;4.00
3;Maruhubi;10.00;0.00;0.00;30.00;0.00;0.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;90.00;1.00;1.00;1.00;10.23;10.23;0.10;2.00
3;Maruhubi;12.00;10.00;0.00;28.00;0.00;0.00;8.40;0.00;2.40;0.00;0.00;0.00;0.00;88.00;2.00;1.89;0.94;10.20;10.20;0.10;1.00
3;Maruhubi;15.00;0.00;0.00;52.00;0.00;0.00;9.00;0.00;6.00;0.00;0.00;0.00;0.00;85.00;2.00;1.92;0.96;10.57;10.57;0.10;1.00
3;Maruhubi;15.00;0.00;0.00;60.00;0.00;0.00;15.00;0.00;0.00;0.00;0.00;0.00;0.00;85.00;1.00;1.00;1.00;10.53;10.53;0.10;1.00
3;Maruhubi;22.00;0.00;10.00;80.00;0.00;0.00;22.00;0.00;0.00;0.00;0.00;0.00;0.00;78.00;1.00;1.00;1.00;9.27;9.27;0.10;2.00
3;Maruhubi;20.00;1.00;0.00;28.00;0.00;0.00;0.00;0.00;20.00;0.00;0.00;0.00;0.00;80.00;1.00;1.00;1.00;10.90;10.90;0.97;2.00
3;Maruhubi;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4;Kibandiko;80.00;0.00;0.00;120.00;0.00;40.00;0.00;0.00;0.00;0.00;0.00;40.00;0.00;20.00;2.00;2.00;1.00;13.00;13.00;0.80;4.00
4;Kibandiko;65.00;0.00;0.00;92.00;0.00;26.00;0.00;0.00;0.00;0.00;0.00;39.00;0.00;35.00;2.00;1.92;0.96;12.33;12.33;0.73;4.00
4;Kibandiko;67.00;0.00;0.00;108.00;0.00;34.00;0.00;0.00;0.00;0.00;0.00;33.50;0.00;33.00;2.00;2.00;1.00;16.00;16.00;0.73;3.00
4;Kibandiko;80.00;0.00;0.00;104.00;0.00;48.00;0.00;0.00;0.00;0.00;0.00;32.00;0.00;20.00;2.00;1.92;0.96;14.67;14.67;0.73;2.00
4;Kibandiko;70.00;0.00;0.00;116.00;0.00;35.00;0.00;0.00;0.00;0.00;0.00;35.00;0.00;30.00;2.00;2.00;1.00;13.67;13.67;0.73;3.00
4;Kibandiko;80.00;0.00;0.00;104.00;0.00;32.00;0.00;0.00;0.00;0.00;0.00;48.00;0.00;20.00;2.00;1.92;0.96;11.00;11.00;0.73;1.00
4;Kibandiko;80.00;0.00;2.00;100.00;0.00;16.00;0.00;0.00;0.00;0.00;0.00;64.00;0.00;20.00;2.00;1.47;0.74;15.00;15.00;1.00;3.00
4;Kibandiko;85.00;0.00;0.00;96.00;0.00;42.50;0.00;0.00;0.00;0.00;0.00;42.50;0.00;15.00;2.00;2.00;1.00;14.33;14.33;0.73;3.00
4;Kibandiko;75.00;0.00;0.00;112.00;0.00;30.00;0.00;0.00;0.00;0.00;0.00;45.00;0.00;25.00;2.00;1.92;0.96;12.67;12.67;0.47;3.00
4;Kibandiko;80.00;0.00;0.00;124.00;0.00;40.00;0.00;0.00;0.00;0.00;0.00;40.00;0.00;20.00;2.00;2.00;1.00;13.00;13.00;0.73;4.00
4;Kibandiko;82.00;0.00;1.00;104.00;0.00;49.20;0.00;0.00;0.00;0.00;0.00;32.80;0.00;18.00;2.00;1.92;0.96;13.67;13.67;1.00;4.00
4;Kibandiko;69.00;0.00;0.00;116.00;0.00;41.40;0.00;0.00;0.00;0.00;0.00;27.60;0.00;31.00;2.00;1.92;0.96;14.33;14.33;0.47;5.00
4;Kibandiko;65.00;0.00;0.00;104.00;0.00;42.25;0.00;0.00;0.00;0.00;0.00;22.75;0.00;35.00;2.00;1.83;0.92;12.33;12.33;0.73;2.00
4;Kibandiko;92.00;0.00;0.00;96.00;0.00;55.20;0.00;0.00;0.00;0.00;0.00;36.80;0.00;8.00;2.00;1.92;0.96;13.00;13.00;1.00;3.00
4;Kibandiko;86.00;0.00;0.00;112.00;0.00;51.60;0.00;0.00;0.00;0.00;0.00;34.40;0.00;14.00;2.00;1.92;0.96;14.00;14.00;0.73;4.00
4;Kibandiko;87.00;0.00;0.00;104.00;0.00;43.50;0.00;0.00;0.00;0.00;0.00;43.50;0.00;13.00;2.00;2.00;1.00;12.00;12.00;0.73;2.00
4;Kibandiko;85.00;0.00;0.00;112.00;0.00;51.00;0.00;0.00;0.00;0.00;0.00;34.00;0.00;15.00;2.00;1.92;0.96;15.00;15.00;0.73;3.00
4;Kibandiko;80.00;0.00;0.00;108.00;0.00;48.00;0.00;0.00;0.00;0.00;0.00;32.00;0.00;20.00;2.00;1.92;0.96;13.33;13.33;0.73;3.00
4;Kibandiko;85.00;0.00;0.00;100.00;0.00;42.50;0.00;0.00;0.00;0.00;0.00;42.50;0.00;15.00;2.00;2.00;1.00;13.33;13.33;1.00;4.00
4;Kibandiko;85.00;0.00;0.00;104.00;0.00;34.00;0.00;0.00;0.00;0.00;0.00;51.00;0.00;15.00;2.00;1.92;0.96;14.67;14.67;0.73;5.00
4;Kibandiko;90.00;0.00;0.00;112.00;0.00;54.00;0.00;0.00;0.00;0.00;0.00;36.00;0.00;10.00;2.00;1.92;0.96;11.00;11.00;0.73;2.00
4;Kibandiko;75.00;0.00;0.00;116.00;0.00;45.00;0.00;0.00;0.00;0.00;0.00;30.00;0.00;25.00;2.00;1.92;0.96;14.67;14.67;0.73;1.00
5;Kibandiko;83.00;0.00;0.00;104.00;0.00;41.50;0.00;0.00;0.00;0.00;0.00;41.50;0.00;17.00;2.00;2.00;1.00;13.67;13.67;1.00;3.00
5;Kibandiko;77.00;0.00;0.00;120.00;0.00;30.80;0.00;0.00;0.00;0.00;0.00;46.20;0.00;23.00;2.00;1.92;0.96;12.33;12.33;1.00;4.00
5;Kibandiko;75.00;0.00;0.00;100.00;0.00;45.00;0.00;0.00;0.00;0.00;0.00;30.00;0.00;25.00;2.00;1.92;0.96;13.67;13.67;1.00;3.00
5;Kibandiko;91.00;0.00;0.00;108.00;0.00;54.60;0.00;0.00;0.00;0.00;0.00;36.40;0.00;9.00;2.00;1.92;0.96;12.00;12.00;1.00;2.00
5;Kibandiko;90.00;0.00;0.00;112.00;0.00;54.00;0.00;0.00;0.00;0.00;0.00;36.00;0.00;10.00;2.00;1.92;0.96;11.33;11.33;1.00;3.00
5;Kibandiko;82.00;0.00;0.00;104.00;0.00;49.20;0.00;0.00;0.00;0.00;0.00;32.80;0.00;18.00;2.00;1.92;0.96;11.67;11.67;1.00;2.00
5;Kibandiko;75.00;0.00;0.00;124.00;0.00;45.00;0.00;0.00;0.00;0.00;0.00;30.00;0.00;25.00;2.00;1.92;0.96;13.00;13.00;1.00;1.00
5;Kibandiko;88.00;0.00;0.00;124.00;0.00;52.80;0.00;0.00;0.00;0.00;0.00;35.20;0.00;12.00;2.00;1.92;0.96;15.00;15.00;1.00;4.00
5;Kibandiko;87.00;0.00;0.00;108.00;0.00;43.50;0.00;0.00;0.00;0.00;0.00;43.50;0.00;13.00;2.00;2.00;1.00;15.00;15.00;1.00;3.00
5;Kibandiko;85.00;0.00;0.00;104.00;0.00;59.50;0.00;0.00;0.00;0.00;0.00;25.50;0.00;15.00;2.00;1.72;0.86;12.00;12.00;1.00;3.00
5;Kibandiko;86.00;0.00;0.00;116.00;0.00;51.60;0.00;0.00;0.00;0.00;0.00;34.40;0.00;14.00;2.00;1.92;0.96;13.00;13.00;1.00;2.00
5;Kibandiko;78.00;0.00;0.00;120.00;0.00;39.00;0.00;0.00;0.00;0.00;0.00;39.00;0.00;22.00;2.00;2.00;1.00;13.33;13.33;1.00;4.00
5;Kibandiko;84.00;0.00;0.00;124.00;0.00;42.00;0.00;0.00;0.00;0.00;0.00;42.00;0.00;16.00;2.00;2.00;1.00;12.67;12.67;1.00;1.00
5;Kibandiko;88.00;0.00;0.00;116.00;0.00;39.60;0.00;0.00;0.00;0.00;0.00;48.40;0.00;12.00;2.00;1.98;0.99;13.33;13.33;1.00;4.00
5;Kibandiko;81.00;0.00;0.00;120.00;0.00;40.50;0.00;0.00;0.00;0.00;0.00;40.50;0.00;19.00;2.00;2.00;1.00;13.00;13.00;1.00;3.00
5;Kibandiko;86.00;0.00;0.00;100.00;0.00;47.30;0.00;0.00;0.00;0.00;0.00;38.70;0.00;14.00;2.00;1.98;0.99;12.00;12.00;1.00;2.00
5;Kibandiko;84.00;0.00;0.00;108.00;0.00;46.20;0.00;0.00;0.00;0.00;0.00;37.80;0.00;16.00;2.00;1.98;0.99;14.67;14.67;1.00;4.00
5;Kibandiko;77.00;0.00;0.00;104.00;0.00;38.50;0.00;0.00;0.00;0.00;0.00;38.50;0.00;23.00;2.00;2.00;1.00;11.00;11.00;1.00;5.00
5;Kibandiko;76.00;0.00;0.00;100.00;0.00;45.60;0.00;0.00;0.00;0.00;0.00;30.40;0.00;24.00;2.00;1.92;0.96;14.00;14.00;1.00;1.00
5;Kibandiko;75.00;0.00;0.00;96.00;0.00;56.25;0.00;0.00;0.00;0.00;0.00;18.75;0.00;25.00;2.00;1.60;0.80;13.67;13.67;1.00;5.00
5;Kibandiko;81.00;0.00;0.00;116.00;0.00;40.50;0.00;0.00;0.00;0.00;0.00;40.50;0.00;19.00;2.00;2.00;1.00;12.33;12.33;1.00;4.00
5;Kibandiko;78.00;0.00;0.00;100.00;0.00;39.00;0.00;0.00;0.00;0.00;0.00;39.00;0.00;22.00;2.00;2.00;1.00;11.33;11.33;1.00;3.00
6;Kibandiko;90.00;0.00;0.00;124.00;0.00;27.00;0.00;0.00;45.00;0.00;0.00;18.00;0.00;10.00;3.00;2.63;0.88;13.67;13.67;1.00;4.00
6;Kibandiko;88.00;0.00;0.00;120.00;0.00;26.40;0.00;0.00;44.00;0.00;0.00;17.60;0.00;12.00;3.00;2.63;0.88;11.67;11.67;1.00;3.00
6;Kibandiko;91.00;0.00;0.00;108.00;0.00;36.40;0.00;0.00;36.40;0.00;0.00;18.20;0.00;9.00;3.00;2.78;0.93;16.67;16.67;1.00;4.00
6;Kibandiko;73.00;0.00;0.00;104.00;0.00;36.50;0.00;0.00;21.90;0.00;0.00;14.60;0.00;27.00;3.00;2.63;0.88;16.00;16.00;1.00;4.00
6;Kibandiko;73.00;0.00;0.00;120.00;0.00;29.20;0.00;0.00;21.90;0.00;0.00;21.90;0.00;27.00;3.00;2.94;0.98;16.33;16.33;1.00;4.00
6;Kibandiko;85.00;0.00;0.00;112.00;0.00;25.50;0.00;0.00;42.50;0.00;0.00;17.00;0.00;15.00;3.00;2.63;0.88;14.67;14.67;1.00;5.00
6;Kibandiko;80.00;0.00;0.00;112.00;0.00;16.00;0.00;0.00;32.00;0.00;0.00;32.00;0.00;20.00;3.00;2.78;0.93;11.67;11.67;1.00;4.00
6;Kibandiko;88.00;0.00;0.00;112.00;0.00;44.00;0.00;0.00;35.20;0.00;0.00;8.80;0.00;12.00;3.00;2.38;0.79;13.33;13.33;1.00;1.00
6;Kibandiko;78.00;0.00;0.00;104.00;0.00;23.40;0.00;0.00;31.20;0.00;0.00;23.40;0.00;22.00;3.00;2.94;0.98;13.67;13.67;1.00;3.00
6;Kibandiko;87.00;0.00;0.00;116.00;0.00;43.50;0.00;0.00;43.50;0.00;0.00;0.00;0.00;13.00;2.00;2.00;1.00;15.00;15.00;1.00;4.00
6;Kibandiko;77.00;0.00;0.00;116.00;0.00;23.10;0.00;0.00;46.20;0.00;0.00;7.70;0.00;23.00;3.00;2.17;0.72;13.67;13.67;1.00;4.00
6;Kibandiko;86.00;0.00;0.00;120.00;0.00;43.00;0.00;0.00;34.40;0.00;0.00;8.60;0.00;14.00;3.00;2.38;0.79;14.33;14.33;1.00;3.00
6;Kibandiko;71.00;0.00;0.00;104.00;0.00;49.70;0.00;0.00;21.30;0.00;0.00;0.00;0.00;29.00;2.00;1.72;0.86;15.33;15.33;1.00;4.00
6;Kibandiko;73.00;0.00;0.00;116.00;0.00;21.90;0.00;0.00;29.20;0.00;0.00;21.90;0.00;27.00;3.00;2.94;0.98;15.00;15.00;1.00;3.00
6;Kibandiko;70.00;0.00;0.00;112.00;0.00;42.00;0.00;0.00;21.00;0.00;0.00;7.00;0.00;30.00;3.00;2.17;0.72;18.33;18.33;1.00;2.00
6;Kibandiko;94.00;0.00;0.00;112.00;0.00;47.00;0.00;0.00;37.60;0.00;0.00;9.40;0.00;6.00;3.00;2.38;0.79;14.67;14.67;1.00;4.00
6;Kibandiko;87.00;0.00;0.00;124.00;0.00;26.10;0.00;0.00;52.20;0.00;0.00;8.70;0.00;13.00;3.00;2.17;0.72;13.33;13.33;1.00;3.00
6;Kibandiko;93.00;0.00;0.00;112.00;0.00;46.50;0.00;0.00;27.90;0.00;0.00;18.60;0.00;7.00;3.00;2.63;0.88;12.67;12.67;1.00;4.00
6;Kibandiko;83.00;0.00;0.00;104.00;0.00;24.90;0.00;0.00;49.80;0.00;0.00;8.30;0.00;17.00;3.00;2.17;0.72;15.33;15.33;1.00;5.00
6;Kibandiko;73.00;0.00;0.00;112.00;0.00;29.20;0.00;0.00;21.90;0.00;0.00;21.90;0.00;27.00;3.00;2.94;0.98;17.33;17.33;1.00;3.00
6;Kibandiko;89.00;0.00;0.00;124.00;0.00;40.05;0.00;0.00;35.60;0.00;0.00;13.35;0.00;11.00;3.00;2.60;0.87;14.00;14.00;1.00;4.00
6;Kibandiko;100.00;0.00;0.00;80.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;50.00;7.33;1.80;7.00
7;Chapwani;37.00;7.00;1.00;172.00;25.90;0.00;11.10;0.00;0.00;0.00;0.00;0.00;0.00;63.00;2.00;1.72;0.86;8.33;8.33;0.50;3.00
7;Chapwani;37.00;0.00;2.00;164.00;25.90;0.00;11.10;0.00;0.00;0.00;0.00;0.00;0.00;63.00;2.00;1.72;0.86;8.33;8.33;0.50;3.00
7;Chapwani;16.00;10.00;2.00;208.00;12.80;0.00;3.20;0.00;0.00;0.00;0.00;0.00;0.00;84.00;2.00;1.47;0.74;7.67;7.67;0.50;3.00
7;Chapwani;29.00;3.00;2.00;160.00;21.75;0.00;7.25;0.00;0.00;0.00;0.00;0.00;0.00;71.00;2.00;1.60;0.80;8.33;8.33;0.50;3.00
7;Chapwani;34.00;0.00;5.00;224.00;23.80;0.00;10.20;0.00;0.00;0.00;0.00;0.00;0.00;66.00;2.00;1.72;0.86;7.67;7.67;0.50;3.00
7;Chapwani;35.00;0.00;5.00;148.00;21.00;0.00;14.00;0.00;0.00;0.00;0.00;0.00;0.00;65.00;2.00;1.92;0.96;7.00;7.00;0.50;2.00
7;Chapwani;11.00;0.00;0.00;156.00;8.25;0.00;2.75;0.00;0.00;0.00;0.00;0.00;0.00;89.00;2.00;1.60;0.80;8.33;8.33;0.50;3.00
7;Chapwani;32.00;7.00;5.00;172.00;25.60;0.00;6.40;0.00;0.00;0.00;0.00;0.00;0.00;68.00;2.00;1.47;0.74;7.67;7.67;0.50;3.00
7;Chapwani;17.00;0.00;10.00;168.00;11.90;0.00;5.10;0.00;0.00;0.00;0.00;0.00;0.00;83.00;2.00;1.72;0.86;7.33;7.33;0.50;3.00
7;Chapwani;16.00;0.00;5.00;176.00;9.60;0.00;6.40;0.00;0.00;0.00;0.00;0.00;0.00;84.00;2.00;1.92;0.96;8.33;8.33;0.50;3.00
7;Chapwani;41.00;1.00;2.00;160.00;28.70;0.00;12.30;0.00;0.00;0.00;0.00;0.00;0.00;59.00;2.00;1.72;0.86;8.00;8.00;0.50;4.00
7;Chapwani;10.00;0.00;5.00;196.00;7.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;90.00;2.00;1.72;0.86;7.67;7.67;0.50;3.00
7;Chapwani;19.00;0.00;10.00;180.00;13.30;0.00;5.70;0.00;0.00;0.00;0.00;0.00;0.00;81.00;2.00;1.72;0.86;7.67;7.67;0.50;3.00
7;Chapwani;32.00;6.00;5.00;180.00;25.60;0.00;6.40;0.00;0.00;0.00;0.00;0.00;0.00;68.00;2.00;1.47;0.74;8.33;8.33;0.50;3.00
7;Chapwani;11.00;0.00;5.00;212.00;7.70;0.00;3.30;0.00;0.00;0.00;0.00;0.00;0.00;89.00;2.00;1.72;0.86;8.00;8.00;0.50;4.00
7;Chapwani;8.00;0.00;1.00;188.00;5.60;0.00;2.40;0.00;0.00;0.00;0.00;0.00;0.00;92.00;2.00;1.72;0.86;7.67;7.67;0.50;3.00
